REGION;COMUNA;ROL_SII;NOMBRE;SUP_M2;MODO;TIER;VALOR_UF;VALOR_USD
"Antofagasta";"ANTOFAGASTA";"16370-1";"CIUDAD DE ANTOFAGASTA COMUNA ANTOFAGASTA";"13400";"CONCESION A TITULO ONEROSO";"2-posible";"201000";"8549482"
"Antofagasta";"MEJILLONES";"505-4";"CEMENTERIO LOTE A COMUNA MEJILLONES";"40100";"CONCESION GRATUITA";"2-posible";"200499";"8528172"
"Antofagasta";"MEJILLONES";"505-5";"LOTE B CEMENTERIO DE MEJILLONES COMUNA MEJILLONES";"40082";"CONCESION GRATUITA";"2-posible";"200410";"8524387"
"Antofagasta";"SAN PEDRO DE ATACAMA";"3524-1";"LOCALIDAD DE SAN PEDRO DE ATACAMA COMUNA SAN PEDRO DE ATACAMA";"50000";"CONCESION GRATUITA";"2-posible";"200001";"8506990"
"Antofagasta";"CALAMA";"2004-4";"BALMACEDA 370 CALLEJON VECINAL COMUNA CALAMA";"24800";"CONCESION GRATUITA";"2-posible";"198400";"8438892"
"Antofagasta";"CALAMA";"6070-10";"MANZANA 4 C LOTE 2 SECTOR TOPATER COMUNA CALAMA";"24399";"CONCESION GRATUITA";"2-posible";"195192";"8302440"
"Antofagasta";"CALAMA";"2004-372";"SECTOR TOPATER SUR LA CUADRILLA COMUNA CALAMA";"23400";"CONCESION GRATUITA";"2-posible";"187200";"7962503"
"Antofagasta";"ANTOFAGASTA";"6749-1";"SECTOR LA NEGRA COMUNA ANTOFAGASTA";"12369";"CONCESION GRATUITA";"2-posible";"185539";"7891853"
"Antofagasta";"ANTOFAGASTA";"25051-1";"COMPLEJO PENITENCIARIO COMUNA ANTOFAGASTA";"12103";"ARRENDAMIENTO";"2-posible";"181549";"7722139"
"Antofagasta";"MEJILLONES";"202-1";"ACCESO SUR A LA CIUDAD DE MEJILLONES COMUNA MEJILLONES";"34418";"CONCESION GRATUITA";"2-posible";"172091";"7319845"
"Antofagasta";"SAN PEDRO DE ATACAMA";"3505-68";"SAN PEDRO DE ATACAMA AYLLO DE CATARPE COMUNA SAN PEDRO DE ATACAMA";"42500";"CONCESION GRATUITA";"2-posible";"170000";"7230905"
"Antofagasta";"ANTOFAGASTA";"16660-2";"SECTOR DESALADORA DE LA CIUDAD DE ANTOFAGASTA COMUNA ANTOFAGASTA";"11189";"CONCESION GRATUITA";"2-posible";"167840";"7139030"
"Tarapacá";"IQUIQUE";"SIN ROL";"MANZANA E LOTE 2 COMUNA IQUIQUE";"13600";"EN USO RECUPERABLE (texto)";"2-posible";"163200";"6941669"
"Tarapacá";"ALTO HOSPICIO";"SIN ROL";"ALTO MOLLE COMUNA ALTO HOSPICIO";"32500";"EN USO RECUPERABLE (texto)";"2-posible";"162500";"6911895"
"Antofagasta";"ANTOFAGASTA";"17015-15";"LOTE D ALTO LA PORTADA COMUNA ANTOFAGASTA";"10785";"ARRENDAMIENTO";"2-posible";"161770";"6880844"
"Antofagasta";"ANTOFAGASTA";"15010-3";"MANZANA M SITIO 3 EL HUASCAR COMUNA ANTOFAGASTA";"10762";"CONCESION GRATUITA";"2-posible";"161432";"6866468"
"Antofagasta";"SAN PEDRO DE ATACAMA";"3510-125";"PUKARA DE QUITOR COMUNA SAN PEDRO DE ATACAMA";"38000";"CONCESION GRATUITA";"2-posible";"152000";"6465280"
"Antofagasta";"CALAMA";"6070-33";"MANZANA 6 A LOTE 1 SECTOR TOPATER COMUNA CALAMA";"18983";"CONCESION GRATUITA";"2-posible";"151868";"6459665"
"Antofagasta";"ANTOFAGASTA";"8049-1";"AVENIDA PEREZ CANTO Y EDUARDO FOSTER POBLACION CARDENAL ZAMORE COMUNA ANTOFAGASTA";"10097";"CONCESION GRATUITA";"2-posible";"151455";"6442099"
"Antofagasta";"ANTOFAGASTA";"1709-1";"POBLACION CIRUJANO VIDELA AVENIDA SALVADOR ALLENDE CON CALLE LENKA FRANULIC COMUNA ANTOFAGAST";"9973";"CONCESION GRATUITA";"2-posible";"149599";"6363154"
"Antofagasta";"SAN PEDRO DE ATACAMA";"3510-170";"AYLLO DE QUITOR COMUNA SAN PEDRO DE ATACAMA";"36400";"CONCESION GRATUITA";"2-posible";"145600";"6193058"
"Antofagasta";"TALTAL";"316-1";"CEMENTERIO GENERAL DE TALTAL COMUNA TALTAL";"44219";"CONCESION GRATUITA";"2-posible";"132657";"5642531"
"Antofagasta";"ANTOFAGASTA";"16075-1";"CIUDAD DE ANTOFAGASTA SIN NUMERO COMUNA ANTOFAGASTA";"8700";"CONCESION GRATUITA";"2-posible";"130500";"5550783"
"Tarapacá";"ALTO HOSPICIO";"5362-6 PREASIGNADO";"LOTE 8 MANZANA A COMUNA ALTO HOSPICIO";"25881";"EN USO RECUPERABLE (texto)";"2-posible";"129406";"5504250"
"Tarapacá";"POZO ALMONTE";"PREASIGNADO";"LOTE C COMUNA POZO ALMONTE";"41300";"EN USO RECUPERABLE (texto)";"2-posible";"123900";"5270054"
"Antofagasta";"ANTOFAGASTA";"17015-13";"LOTE B ALTO LA PORTADA COMUNA ANTOFAGASTA";"8252";"ARRENDAMIENTO";"2-posible";"123784";"5265120"
"Antofagasta";"ANTOFAGASTA";"17011-1";"SECTOR NORTE DE LA CIUDAD DE ANTOFAGASTA COMUNA ANTOFAGASTA";"7893";"CONCESION A TITULO ONEROSO";"2-posible";"118400";"5036113"
"Antofagasta";"ANTOFAGASTA";"16161-7";"SITIO 7 MANZANA 60 LA CHIMBA COMUNA ANTOFAGASTA";"7787";"ARRENDAMIENTO";"2-posible";"116801";"4968100"
"Antofagasta";"SIERRA GORDA";"10000-25";"OASIS RELLENO SANITARIO COMUNA SIERRA GORDA";"56000";"CONCESION GRATUITA";"2-posible";"112000";"4763891"
"Antofagasta";"ANTOFAGASTA";"16171-3";"LA CHIMBA ALTO MANZANA 63 SITIO 3 COMUNA ANTOFAGASTA";"7428";"ARRENDAMIENTO";"2-posible";"111417";"4739093"
"Antofagasta";"ANTOFAGASTA";"25001-40";"SITIO 57 SECTOR QUINTAS COMUNA ANTOFAGASTA";"7409";"ARRENDAMIENTO";"2-posible";"111129";"4726843"
"Antofagasta";"CALAMA";"6147-6";"PARCELA EL ESFUERZO SECTOR EL PEUCO COMUNA CALAMA";"13364";"CONCESION GRATUITA";"2-posible";"106914";"4547559"
"Antofagasta";"TOCOPILLA";"8800-4";"AL NOROESTE DEL LOTEO TRES MARIAS COMUNA TOCOPILLA";"26500";"CONCESION GRATUITA";"2-posible";"106000";"4508682"
"Antofagasta";"CALAMA";"5309-12";"LOTE 12 MANZANA I PUERTO SECO COMUNA CALAMA";"12841";"CONCESION A TITULO ONEROSO";"2-posible";"102730";"4369594"
"Antofagasta";"CALAMA";"6070-34";"MANZANA 6 A LOTE 2 SECTOR TOPATER COMUNA CALAMA";"12505";"CONCESION GRATUITA";"2-posible";"100038";"4255090"
"Tarapacá";"HUARA";"PREASIGNADO 1057-122";"CALLE VECINAL SIN NUMERO COMUNA HUARA";"50000";"EN USO RECUPERABLE (texto)";"2-posible";"100000";"4253474"
