id;rol;comuna;destino;ah;valor_m2_clp;rango_sup;avaluo_total_clp;lat;lon
"423";"422-1";"";"";"";"0";"";"0";"";""
"424";"5146-27";"";"";"";"0";"";"0";"";""
"425";"646-207";"";"";"";"0";"";"0";"";""
"426";"2043-11";"";"";"";"0";"";"0";"";""
"427";"1018-8";"";"";"";"0";"";"0";"";""
"428";"144-92";"";"";"";"0";"";"0";"";""
"429";"346-43";"";"";"";"0";"";"0";"";""
"430";"8170-14";"";"";"";"0";"";"0";"";""
"431";"1827-9";"";"";"";"0";"";"0";"";""
"432";"59-2";"";"";"";"0";"";"0";"";""
"433";"1225-1";"";"";"";"0";"";"0";"";""
"434";"3223-18";"";"";"";"0";"";"0";"";""
"435";"1091-5";"";"";"";"0";"";"0";"";""
"436";"650-124";"";"";"";"0";"";"0";"";""
"437";"91-71";"";"";"";"0";"";"0";"";""
"438";"646-397";"";"";"";"0";"";"0";"";""
"439";"37-63";"";"";"";"0";"";"0";"";""
"440";"646-398";"";"";"";"0";"";"0";"";""
"441";"646-396";"";"";"";"0";"";"0";"";""
"443";"2023-66";"";"";"";"0";"";"0";"";""
"447";"16208-6";"";"";"";"0";"";"0";"";""
"448";"18070-18";"";"";"";"0";"";"0";"";""
"449";"5642-1";"";"";"";"0";"";"0";"";""
"450";"6070-33";"";"";"";"0";"";"0";"";""
"451";"6749-1";"";"";"";"0";"";"0";"";""
"452";"16660-2";"";"";"";"0";"";"0";"";""
"453";"15010-3";"";"";"";"0";"";"0";"";""
"454";"3540-192";"";"";"";"0";"";"0";"";""
"456";"8049-1";"";"";"";"0";"";"0";"";""
"457";"6147-6";"";"";"";"0";"";"0";"";""
"459";"1709-1";"";"";"";"0";"";"0";"";""
"460";"6070-34";"";"";"";"0";"";"0";"";""
"461";"3301-710";"";"";"";"0";"";"0";"";""
"462";"1240-43";"";"";"";"0";"";"0";"";""
"463";"1407-1";"";"";"";"0";"";"0";"";""
"464";"6070-37";"";"";"";"0";"";"0";"";""
"465";"16075-1";"";"";"";"0";"";"0";"";""
"467";"1436-2";"";"";"";"0";"";"0";"";""
"468";"2004-371";"";"";"";"0";"";"0";"";""
"469";"10001-13";"";"";"";"0";"";"0";"";""
"470";"301-504";"";"";"";"0";"";"0";"";""
"471";"301-507";"";"";"";"0";"";"0";"";""
"472";"151-1";"";"";"";"0";"";"0";"";""
"473";"301-502";"";"";"";"0";"";"0";"";""
"474";"7850-1";"";"";"";"0";"";"0";"";""
"475";"16052-4";"";"";"";"0";"";"0";"";""
"476";"16153-12";"";"";"";"0";"";"0";"";""
"477";"388-3";"";"";"";"0";"";"0";"";""
"478";"1014-22";"";"";"";"0";"";"0";"";""
"480";"25001-45";"";"";"";"0";"";"0";"";""
"481";"3560-95";"";"";"";"0";"";"0";"";""
"482";"44-19";"";"";"";"0";"";"0";"";""
"483";"7534-1";"";"";"";"0";"";"0";"";""
"484";"16042-5";"";"";"";"0";"";"0";"";""
"485";"4005-13";"";"";"";"0";"";"0";"";""
"486";"16045-1";"";"";"";"0";"";"0";"";""
"487";"1240-36";"";"";"";"0";"";"0";"";""
"489";"1008-2";"";"";"";"0";"";"0";"";""
"490";"16153-5";"";"";"";"0";"";"0";"";""
"491";"10001-14";"";"";"";"0";"";"0";"";""
"492";"452-1";"";"";"";"0";"";"0";"";""
"493";"615-1";"";"";"";"0";"";"0";"";""
"494";"16020-4";"";"";"";"0";"";"0";"";""
